GDP_per_capita,IPR,province_name_english
151200.60968460547,0.7032590051457976,Jiangsu
90948.33547367381,0.8436548223350254,Shandong
124589.49592514338,1.1461661341853036,Zhejiang
106770.2840953805,0.5853080568720379,Guangdong
60548.02955665025,1.3127147766323024,Henan
74581.65256994145,0.9658356417359188,Sichuan
68002.694509936,1.0165016501650166,Yunnan
76840.38555791538,1.0179948586118253,Anhui
59640.20018936832,1.080082135523614,Hebei
71302.03720106289,1.1189591078066914,Jiangxi
74040.95760023074,1.594413407821229,Shanxi
85215.17697988286,0.8656934306569343,Shaanxi
129971.3124551757,1.3122302158273382,Fujian
99678.16534977838,1.5183044315992291,Hubei
118845.50084889644,1.2671081677704197,Xinjiang
51000.45682960256,1.513184584178499,Gansu
54120.57302029447,1.5,Guangxi
77769.1699604743,0.9858956276445698,Hunan
58954.1547277937,0.4864253393665158,Jilin
65212.464589235125,1.4251626898047722,Xizang
57131.291798662445,0.6980392156862745,Guizhou
84444.44444444444,1.7241379310344829,Hainan
51849.65380811078,0.993517017828201,Heilongjiang
71896.2219033955,0.7482993197278912,Liaoning
200187.5571820677,0.9364548494983278,Beijing
105134.49740443606,1.069879518072289,Inner Mongolia
72908.09327846365,1.2475247524752475,Ningxia
62329.84293193717,1.008849557522124,Qinghai
189863.28910333736,2.015267175572519,Shanghai
122705.27859237537,0.7362924281984334,Tianjin
94471.95236602945,1.042384105960265,Chongqing
