province,standard_projects,standard_inheritors,standard_raw_IPR,national_standard_IPR,total_gap_vs_national,composition_contribution,within_category_contribution,additivity_residual,composition_adjusted_IPR,small_cells_lt10_projects,degenerate_contribution_flag,province_name_english,region,raw_IPR,raw_rank,adjusted_rank
上海市,393,792,2.015267175572519,1.073860634874898,0.9414065406976209,-0.021332153406326534,0.9627386941039476,2.220446049250313e-16,2.218481869687243,0,False,Shanghai,East,2.015267175572519,1,1
海南省,87,150,1.7241379310344827,1.073860634874898,0.6502772961595846,-0.018853703660429995,0.6691309998200148,1.1102230246251565e-16,1.863120820991925,6,False,Hainan,East,1.7241379310344829,2,2
山西省,895,1427,1.594413407821229,1.073860634874898,0.5205527729463311,0.00034008578025528785,0.5202126871660758,0.0,1.6058651338217742,0,False,Shanxi,Central,1.594413407821229,3,3
福建省,695,912,1.3122302158273382,1.073860634874898,0.2383695809524402,-0.0385484793846122,0.27691806033705224,-1.6653345369377348e-16,1.5011632673232402,0,False,Fujian,East,1.3122302158273382,9,4
西藏自治区,461,657,1.4251626898047722,1.073860634874898,0.3513020549298742,-0.04875557926871085,0.4000576341985851,0.0,1.500744088763513,1,False,Xizang,West,1.4251626898047722,7,5
广西壮族自治区,624,936,1.5,1.073860634874898,0.426139365125102,-0.04437301781881771,0.4705123829439197,5.551115123125783e-17,1.469276442397765,0,False,Guangxi,West,1.5,6,6
甘肃省,493,746,1.513184584178499,1.073860634874898,0.43932394930360097,0.0697026163445197,0.3696213329590814,1.1102230246251565e-16,1.4537437069197403,0,False,Gansu,West,1.513184584178499,5,7
湖北省,519,788,1.5183044315992293,1.073860634874898,0.4444437967243313,0.12698463131642368,0.3174591654079077,5.551115123125783e-17,1.385500087723587,0,False,Hubei,Central,1.5183044315992291,4,8
宁夏回族自治区,303,378,1.2475247524752475,1.073860634874898,0.1736641176003495,0.004355313043405737,0.1693088045569438,5.551115123125783e-17,1.2782091884779958,2,False,Ningxia,West,1.2475247524752475,11,9
河南省,873,1146,1.3127147766323024,1.073860634874898,0.23885414175740438,0.06063878260214402,0.17821535915526035,0.0,1.2641331508458145,0,False,Henan,Central,1.3127147766323024,8,10
新疆维吾尔自治区,453,574,1.2671081677704195,1.073860634874898,0.19324753289552143,-0.05387928359906219,0.24712681649458368,5.551115123125783e-17,1.2396901725652854,1,False,Xinjiang,West,1.2671081677704197,10,11
云南省,808,924,1.1435643564356435,1.073860634874898,0.06970372156074545,-0.06991451642649033,0.13961823798723594,1.6653345369377348e-16,1.2247441616478505,0,False,Yunnan,West,1.0165016501650166,18,12
江西省,538,602,1.1189591078066914,1.073860634874898,0.045098472931793365,0.037230100243418995,0.007868372688374564,1.942890293094024e-16,1.1657764374148065,0,False,Jiangxi,Central,1.1189591078066914,13,13
浙江省,1252,1435,1.1461661341853036,1.073860634874898,0.07230549931040553,-0.006056076924667492,0.07836157623507298,-4.163336342344337e-17,1.1616681661576909,0,False,Zhejiang,East,1.1461661341853036,12,14
内蒙古自治区,830,888,1.069879518072289,1.073860634874898,-0.0039811168026089305,-0.05569489217284484,0.05171377537023601,1.0408340855860843e-16,1.142870969000151,0,True,Inner Mongolia,West,1.069879518072289,15,15
